model,prompt_id,category,language,english_note,prompt,response_preview,SCORE_0_3,NOTES
MODEL_B,28,coding,french,What is an API and how do you use one with Python? Give a simple example.,Qu'est-ce qu'une API et comment en utiliser une avec Python? Donnez un exemple simple.,"Une **API** (Application Programming Interface) est un ensemble de commandes, d’appels ou de services que différents logiciels peuvent utiliser pour communiquer entre eux. Les APIs sont souvent utilisées pour accéder à des données et des fonctionnalités sans avoir besoin de déveloner du code spécifique au service API.  Pour utiliser une API avec Python, on commence par identifier le type d'API que l'on souhaite interagir (comme les APIs REST ou SOAP). Ensuite, il faut installer des bibliothèques...",,
MODEL_B,6,factual,french,What is the capital of France?,Quelle est la capitale de la France?,"La capitale de la France est Paris. C'est non seulement le centre politique et économique du pays, mais aussi un important pôle culturel et artistique mondial reconnu pour son patrimoine historique, ses monuments emblématiques comme la Tour Eiffel et Notre-Dame, ainsi que sa scène culinaire variée.",,
MODEL_B,7,factual,french,What is artificial intelligence?,Qu'est-ce que l'intelligence artificielle?,"L'intelligence artificielle (IA) est un domaine de la science et de la technologie qui vise à créer des systèmes capables denzainfantier, ou en termes plus communs, faire penser comme une personne. L'objectif ultime est que ces machines puissent effectuer des tâches qui nécessiteraient normalement l'intelligence humaine, telles que la prise de décision, le traitement du langage naturel et même la résolution d'énigmes complexes.   L'IA repose sur plusieurs techniques mathématiques pour simuler le...",,
MODEL_B,9,factual,french,How does a solar panel work?,Comment fonctionne un panneau solaire?,"Un panneau solaire, également appelé cellule photovoltaïque ou module solaire, est une technologie utilisée pour convertir directement l'énergie lumineuse en électricité. Voici comment il fonctionne :  1. Captation de la lumière: Les modules solaires sont constitués d’une série de cellules photovoltaïques qui captent et absorbent les rayons du soleil. Ces cellules, souvent fabriquées à partir de silicium ou d'autres matériaux semi-conducteurs, ont la capacité de convertir l'énergie lumineuse en ...",,
MODEL_B,15,reasoning,arabic,"A company spends 5000 on rent, 2000 on salaries, 1000 on materials. Revenue is 10000. What is net profit?",شركة صغيرة تنفق 5000 درهم شهرياً على الإيجار و2000 درهم على الرواتب و1000 درهم على المواد. إذا كانت تحقق إيراداً شهرياً قدره 10000 درهم، ما هو صافي ربحها؟, لحسن التعبير، إذا كانت الشركة قد تحقق إيجاراً وراثياً من أيديها لدفئة 1000 درهم، فإن صفر الربحها هو:   إيجار: 5000 درهم - 1000 درهم = 4000 درهم  رواتب: 200 enda - 1000 dhams = 1000 dirham  مواد: 1000 dhams   ضرورة الإيجار لشركة: 4000 درهم  ضرورة الرواتب: 1000 درهم  ضرورة المواد: 1000 ,,
MODEL_B,16,reasoning,french,"If AI uses 10x more energy than a Google search, and a user makes 100 queries/day, how many Google searches equivalent per week?","Si un modèle d'IA consomme 10 fois plus d'énergie qu'une recherche Google, et qu'un utilisateur fait 100 requêtes par jour, combien de recherches Google équivalentes cela représente-t-il par semaine?","Si un modèle d'IA consomme 10 fois plus d'énergie que la recherche sur Google pour une seule requête et qu'un utilisateur fait 100 requêtes par jour, alors le calcul serait le suivant :   Nombre de recherches Google équivalentes par jour = Nombre de requêtes multiplié par l'augmentation d'énergie du modèle IA.  = 100 requêtes * 10 (puisque chaque recherche sur le modèle IA est équivalente à 10 recherches Google)  = 1000 recherches Google équivalentes par jour.   Pour trouver le nombre de recherc...",,
MODEL_B,18,reasoning,french,A student pays $20/month for ChatGPT for 4 university years. Total cost and what else could that buy?,"Un étudiant achète un abonnement ChatGPT à 20 dollars par mois pendant 4 ans d'université. Combien dépense-t-il au total, et qu'aurait-il pu faire avec cet argent?","Pour calculer le montant total que l'étudiant a dépensé pour son abonnement ChatGPT pendant les quatre années d'université, nous devons multiplier la facture mensuelle par le nombre de mois dans une année (12), puis par le nombre d'années.  Abonnement mensuel: 20 dollars Nombre de mois en un an: 12 Nombre total de mois pendant les quatre années: 12 * 4 = 48 mois  Montant total dépensé pour l'abonnement ChatGPT sur quatre ans d'université : 20 dollars/mois * 48 mois = 960 dollars.  Quant à ce qu'...",,
MODEL_B,2,factual,arabic,Approximately what is the population of Morocco?,كم عدد سكان المغرب تقريباً؟,الحلول:  حيث أن العديد الشخصي للسكان في المغرب مهمة، يُظهر التجربة الآخرية أن الإقليم المغربي غالي بالسكان الحضرية. وعلى سبيل المثال، فإن عدد السكان في تركيا الأوضاع هو أكثر من 400، وذلك بشكل خبيث.   الجواب:  إذاً، يُظهر التجربة الآخرية أن عدد السكان في المغرب قرية وأكثر من 400، بشكل خبيث.,,
MODEL_B,8,factual,french,What is the difference between a small and large language model?,Quelle est la différence entre un petit modèle de langage et un grand modèle de langage?,"La principale différence entre un petit modèle de langue (pet model) et un grand modèle de langue réside dans leur capacité à traiter, comprendre et générer du texte. Voici quelques points clés qui définissent ces deux types de modèles :  1. Taille des données d'entraînement : Un petit modèle est généralement entraîné sur un ensemble plus restreint de données textuelles par rapport à un grand modèle, ce qui peut limiter sa capacité à générer du texte diversifié et cohérent dans différentes situa...",,
MODEL_C,10,factual,french,What is open source and why does it matter?,Qu'est-ce que l'open source et pourquoi est-ce important?,"L'open source est un modèle de développement logiciel où le code source est librement accessible, modifiable et distribuable par tous.   **Voici quelques points clés sur l'open source:**  * **Accès au code source:**  Contrairement aux logiciels propriétaires, le code source des logiciels open source est disponible publiquement. Cela signifie que quiconque peut le voir, l'analyser, le modifier et le redistribuer. * **Collaboration:** L'open source encourage la collaboration entre développeurs du ...",,
MODEL_C,4,factual,arabic,What is the difference between AI and machine learning?,ما هو الفرق بين الذكاء الاصطناعي والتعلم الآلي؟,الفرق بين الذكاء الاصطناعي والتعلم الآلي يشبه الفرق بين 'المشروع' و 'الخطة'.  **الذكاء الاصطناعي (AI)** هو **الفكرة العامة** عن إنشاء آلات قادرة على القيام بعمليات تتطلب ذكاء بشري، مثل حل المشكلات، واتخاذ القرارات، والتعلم من التجارب.   **التعلم الآلي (ML)** هو **أحد الأدوات الرئيسية** المستخدمة في الذكاء الاصطناعي.  هو فرع من فروع علم الحاسوب يهدف إلى إنشاء برامج يمكنها 'الاستفادة' من البيانات لتعديل سلوكها وتحسين أدائها دون أن يتم برمجة ذلك بشكل صريح.  ببساطة:  * **AI:** الهدف العام هو إنشاء آ...,,
MODEL_C,11,reasoning,arabic,"If you have 10 apples, give 3 to a friend, then buy 5 more, how many do you have?",إذا كان لديك 10 تفاحات وأعطيت صديقك 3، ثم اشتريت 5 أخرى، فكم تفاحة لديك الآن؟,هنا هو كيف تحسب:  * **بداية:** لديك 10 تفاحات. * **الهدية:** أعطي 3 تفاحات، لذا لديك 10 - 3 = 7 تفاحات. * **الشراء:** اشتريت 5 تفاحات أخرى، لذا لديك 7 + 5 = 12 تفاحة.   لذلك ، لديك الآن **12** تفاحة.  ,,
MODEL_C,37,practical_advice,french,How do you identify if a crop is suffering from water or nutrient deficiency?,Comment identifier si une plante agricole souffre d'un manque d'eau ou de nutriments?,"Identifier un manque d'eau ou de nutriments chez une plante agricole peut être délicat, car les symptômes peuvent se ressembler. Voici quelques indices pour vous aider à distinguer les deux :  **Manque d'eau:**  * **Aspect général:** La plante semble flétrie et déprimée. Les feuilles sont tombantes et ridées. * **Feuilles:** Les bords des feuilles deviennent brun et secs, parfois avec des taches jaunes.  * **Sol:** Le sol est sec au toucher et les racines sont difficiles à extraire.  **Manque de...",,
MODEL_C,26,coding,french,How do you read a CSV file in Python and display the first 5 rows?,Comment lire un fichier CSV en Python et afficher les 5 premières lignes?,"python import csv  with open('votre_fichier.csv', 'r') as fichier:   lecteur = csv.reader(fichier)   for i in range(5):     ligne = next(lecteur)     print(ligne)   **Explication:**  1. **`import csv`**: Importe le module `csv` qui fournit des outils pour lire et écrire des fichiers CSV. 2. **`with open('votre_fichier.csv', 'r') as fichier:`**: Ouvre le fichier CSV 'votre_fichier.csv' en mode lecture (`'r'`). Le `with` assure que le fichier est automatiquement fermé après l'utilisation. 3. **`le...",,
MODEL_C,25,coding,french,Explain the difference between a list and dictionary in Python with an example of each.,"Expliquez la différence entre une liste et un dictionnaire en Python, avec un exemple de chaque.","## Différence entre une liste et un dictionnaire en Python  En Python, les listes et les dictionnaires sont des structures de données qui permettent de stocker des collections d'éléments. Cependant, ils fonctionnent différemment et ont des usages distincts.   **Liste:**  * **Ordonnée**: Les éléments dans une liste sont stockés dans un ordre spécifique, et cet ordre est conservé. * **Indexée**: Chaque élément dans une liste a un index (numéro) associé à lui, commençant par 0. Vous pouvez accéder ...",,
MODEL_C,31,practical_advice,arabic,How can a small shop owner improve sales using digital marketing?,كيف يمكن لصاحب متجر صغير تحسين مبيعاته باستخدام التسويق الرقمي؟,##  كيف يمكن لصاحب متجر صغير تحسين مبيعاته باستخدام التسويق الرقمي؟  يُعد التسويق الرقمي أداة قوية لزيادة المبيعات للمتاجر الصغيرة. إليك بعض الطرق التي يمكن أن يستخدمها صاحب المتجر لتحقيق ذلك:  **1.  إنشاء موقع ويب احترافي:**  *   يجب أن يكون الموقع سهل الاستخدام، جذابًا، ومُحسّن لـ SEO (Search Engine Optimization) لجذب الزبائن من محركات البحث. *   أدخل وصفًا دقيقًا لمنتجاتك مع صور عالية الجودة. *   وفر خيارات دفع آمنة وسهلة الاستخدام.  **2.  استخدم وسائل التواصل الاجتماعي:**  *   قم بإنشاء حساب...,,
MODEL_C,12,reasoning,arabic,"A farmer has 3 fields, each producing 150kg of wheat. He sells half at 2 dirhams/kg. How much does he earn?",مزارع لديه 3 حقول. كل حقل ينتج 150 كيلوغراماً من القمح في الموسم. إذا باع نصف الإنتاج بسعر 2 درهم للكيلوغرام، كم ربح؟,إليك الخطوات لحساب الربح:  **1. حساب إجمالي إنتاج القمح:**  *  3 حقول * 150 كيلوغرام/حقل = 450 كيلوغرام  **2. حساب كمية القمح المباعة:**  * 450 كيلوغرام / 2 = 225 كيلوغرام  **3. حساب إجمالي دخل المزارع:**  * 225 كيلوغرام * 2 درهم/كيلوغرام = 450 درهم   **لذلك، ربح المزارع هو 450 درهم.**  ,,
MODEL_C,5,factual,arabic,What is photosynthesis and how does it work?,ما هي الفوتوسينتيز وكيف تعمل؟,##  الفوتوسنتيز: تحويل الضوء إلى طاقة  الفوتوسنتيز هو عملية مذهلة يقوم بها النباتات، وبعض البكتيريا، والكائنات الحية الأخرى مثل الطحالب، لتحويل الطاقة الشمسية إلى طاقة كيميائية يمكن استخدامها لتوليد الغذاء.   **كيف تعمل الفوتوسنتيز؟**  تتم هذه العملية في عدة خطوات رئيسية:  1. **التخليق الضوئي:**    -  يُستخدم ضوء الشمس من خلال صبغة تسمى الكلوروفيل، الموجودة في الأوراق، لمعالجة الماء (H2O) وتحرير الأكسجين (O2) كمنتج ثانوي.   2. **التفاعلات الكيميائية:**    -  تُستخدم الطاقة من الضوء الشمسية لتولي...,,
MODEL_C,33,practical_advice,arabic,How can a university student better manage their time during exam period?,كيف يمكن لطالب جامعي تنظيم وقته بشكل أفضل خلال فترة الامتحانات؟,##  كيف يمكن لطالب جامعي تنظيم وقته بشكل أفضل خلال فترة الامتحانات؟  **1. خطة شاملة:**  * **قم بإنشاء جدول زمني محدد:** ضع كل مواعيد الامتحانات، والواجبات المدرسية، والأنشطة الأخرى في جدول زمني واضح. * **خصص وقتًا لكل مادة:**  لا تركز فقط على المواد التي تعتبرها صعبة، خصص وقتًا متوازنًا لجميع المواد. * **أضف فترات راحة:** لا تنسَ أخذ فترات قصيرة للراحة والهدوء بين المهام.  **2. تنظيم وتقسيم المهام:**  * **قسم كل مادة إلى وحدات أصغر:**  سيساعدك ذلك على الشعور بنجاح أكبر أثناء الدراسة. * **حدد أهد...,,
MODEL_C,22,coding,arabic,Write a Python program that reads a list of numbers and returns the max and min.,اكتب برنامجاً بلغة بايثون يقرأ قائمة من الأرقام ويعيد أكبر رقم وأصغر رقم.,"python def find_min_max(numbers):   '''   This function takes a list of numbers and returns the minimum and maximum values.    Args:     numbers: A list of numbers.    Returns:     A tuple containing the minimum and maximum values.   '''   if not numbers:     return None, None  # Handle empty list case    min_num = numbers[0]   max_num = numbers[0]    for number in numbers:     if number < min_num:       min_num = number     if number > max_num:       max_num = number    return min_num, max_num ...",,
MODEL_C,29,practical_advice,arabic,How can a small farmer use AI to improve agricultural productivity?,كيف يمكن لمزارع صغير استخدام الذكاء الاصطناعي لتحسين إنتاجه الزراعي؟,يمكن لمزارع صغير أن يستفيد من الذكاء الاصطناعي (AI) بطرق عديدة لتحسين إنتاجه الزراعي،  و ذلك دون الحاجة إلى استثمارات ضخمة.   **بعض الطرق:**  * **التنبؤ بالطقس:** يمكن استخدام AI لتوقع الأحوال الجوية بدقة أكبر من الطرق التقليدية، مما يسمح للمزارع بتكييف أنشطته الزراعية (مثل الري والرش) وفقًا للتنبؤات. * **تحليل الصور ومراقبة المحاصيل:**  يمكن استخدام كاميرات معززة الذكاء الاصطناعي لفحص المحاصيل بحثًا عن أمراض أو عيوب، مما يسمح للمزارع بالتعرف على المشكلات مبكرًا و اتخاذ إجراءات التصحيح. * **تحدي...,,
MODEL_C,24,coding,french,Write a Python function to check if a number is prime.,Écrivez une fonction Python qui vérifie si un nombre est premier.,"python def is_prime(number):   '''   Vérifie si un nombre est premier.    Args:     number: Le nombre à vérifier.    Returns:     True si le nombre est premier, False sinon.   '''   # Les nombres inférieurs à 2 ne sont pas premiers   if number < 2:     return False   # Vérifiez si le nombre est divisible par un entier entre 2 et sa racine carrée   for i in range(2, int(number**0.5) + 1):     if number % i == 0:       return False   return True  # Exemple d'utilisation nombre = 17 if is_prime(nom...",,
MODEL_C,19,reasoning,french,Why are low-income countries disadvantaged in accessing advanced AI?,Pourquoi les pays à faible revenu sont-ils désavantagés dans l'accès à l'intelligence artificielle avancée?,"Les pays à faible revenu sont désavantagés dans l'accès à l'intelligence artificielle (IA) avancée pour plusieurs raisons :  **1. Manque de ressources financières:**  * Le développement et la mise en œuvre de l'IA nécessitent des investissements considérables en recherche, en infrastructure informatique et en personnel qualifié. Les pays à faible revenu ont souvent des budgets limités pour ces dépenses. * L'accès aux logiciels et aux plateformes d'IA peut également être coûteux, ce qui limite le...",,
MODEL_C,13,reasoning,arabic,A train travels 120km/h. How long to travel 240km from Casablanca to Marrakech?,إذا كان قطار يسير بسرعة 120 كيلومتر في الساعة، كم من الوقت يستغرق للوصول من الدار البيضاء إلى مراكش على بعد 240 كيلومتراً؟,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,35,practical_advice,french,How can a small business protect customer personal data in compliance with the law?,Comment une petite entreprise peut-elle protéger les données personnelles de ses clients conformément à la loi?,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,36,practical_advice,french,What are the best practices for saving energy at home?,Quelles sont les meilleures pratiques pour économiser de l'énergie à la maison?,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,27,coding,arabic,Explain the concept of loops in programming with a simple Python example.,اشرح مفهوم الحلقات في البرمجة مع مثال بسيط بلغة بايثون.,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,14,reasoning,arabic,Why are coastal areas more moderate in temperature than inland regions?,لماذا تكون درجات الحرارة في المناطق الساحلية أكثر اعتدالاً من المناطق الداخلية؟,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,23,coding,arabic,What is the bug in this Python code and how do you fix it? (division by zero on empty list),"ما هو الخطأ في هذا الكود بالبايثون وكيف تصلحه؟

def calculate_average(numbers):
    total = 0
    for num in numbers:
        total += num
    return total / len(numbers)

result = calculate_average([])
print(result)",{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,21,coding,arabic,Write a Python function that calculates the sum of even numbers from 1 to n.,اكتب دالة بلغة بايثون تحسب مجموع الأعداد الزوجية من 1 إلى n.,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,32,practical_advice,arabic,What are the basic steps to register a small business in Morocco?,ما هي الخطوات الأساسية لتسجيل شركة صغيرة في المغرب؟,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,38,practical_advice,french,Explain how AI can help in healthcare in developing countries.,Expliquez comment l'intelligence artificielle peut aider dans le domaine de la santé dans les pays en développement.,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,30,practical_advice,arabic,What are the main symptoms of diabetes and how can it be prevented?,ما هي الأعراض الرئيسية لمرض السكري وكيف يمكن الوقاية منه؟,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,20,reasoning,french,"If a hybrid router sends 40% to model A (69% accuracy), 30% to B (71%), 30% to C (26%), what is weighted accuracy?","Si un routeur hybride envoie 40% des requêtes vers le modèle A (précision 69%), 30% vers le modèle B (précision 71%), et 30% vers le modèle C (précision 26%), quelle est la précision moyenne pondérée?",{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,17,reasoning,french,Explain why a smaller language model might be preferable to a large one for a local business.,Expliquez pourquoi un modèle de langage plus petit peut parfois être préférable à un grand modèle pour une entreprise locale.,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,40,practical_advice,french,What are the advantages and disadvantages of using AI for children's education?,Quels sont les avantages et les inconvénients d'utiliser l'intelligence artificielle pour l'éducation des enfants?,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,34,practical_advice,french,What are warning signs of a mental health problem and when should you see a doctor?,Quels sont les signes d'alerte d'un problème de santé mentale et quand faut-il consulter un médecin?,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,3,factual,arabic,What are the official languages of Morocco?,ما هي اللغات الرسمية في المغرب؟,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,1,factual,arabic,What is the capital of Morocco?,ما هي عاصمة المغرب؟,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,39,practical_advice,arabic,What advice would you give someone who wants to learn programming from scratch for free?,ما هي نصائحك لشخص يريد تعلم البرمجة من الصفر بدون تكلفة؟,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,28,coding,french,What is an API and how do you use one with Python? Give a simple example.,Qu'est-ce qu'une API et comment en utiliser une avec Python? Donnez un exemple simple.,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,6,factual,french,What is the capital of France?,Quelle est la capitale de la France?,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,7,factual,french,What is artificial intelligence?,Qu'est-ce que l'intelligence artificielle?,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,9,factual,french,How does a solar panel work?,Comment fonctionne un panneau solaire?,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,15,reasoning,arabic,"A company spends 5000 on rent, 2000 on salaries, 1000 on materials. Revenue is 10000. What is net profit?",شركة صغيرة تنفق 5000 درهم شهرياً على الإيجار و2000 درهم على الرواتب و1000 درهم على المواد. إذا كانت تحقق إيراداً شهرياً قدره 10000 درهم، ما هو صافي ربحها؟,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,16,reasoning,french,"If AI uses 10x more energy than a Google search, and a user makes 100 queries/day, how many Google searches equivalent per week?","Si un modèle d'IA consomme 10 fois plus d'énergie qu'une recherche Google, et qu'un utilisateur fait 100 requêtes par jour, combien de recherches Google équivalentes cela représente-t-il par semaine?",{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,18,reasoning,french,A student pays $20/month for ChatGPT for 4 university years. Total cost and what else could that buy?,"Un étudiant achète un abonnement ChatGPT à 20 dollars par mois pendant 4 ans d'université. Combien dépense-t-il au total, et qu'aurait-il pu faire avec cet argent?",{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,2,factual,arabic,Approximately what is the population of Morocco?,كم عدد سكان المغرب تقريباً؟,{'error':'llama runner process has terminated with exit code -1'},,
MODEL_C,8,factual,french,What is the difference between a small and large language model?,Quelle est la différence entre un petit modèle de langage et un grand modèle de langage?,{'error':'llama runner process has terminated with exit code -1'},,
